Tobias Rieder | Arizona Coyotes | Hi-sticking | 02/16/2015 | Colorado Avalanche | Away | Ghislain Hebert, Eric Furlatt
Keith Yandle | Arizona Coyotes | Hooking | 02/16/2015 | Colorado Avalanche | Away | Ghislain Hebert, Eric Furlatt
Chris Kelly | Boston Bruins | Holding | 02/16/2015 | Calgary Flames | Away | Francis Charron, Ian Walsh
Jiri Hudler | Calgary Flames | Roughing | 02/16/2015 | Boston Bruins | Home | Francis Charron, Ian Walsh
Dougie Hamilton | Boston Bruins | Roughing | 02/16/2015 | Calgary Flames | Away | Francis Charron, Ian Walsh
Johnny Gaudreau | Calgary Flames | Hi stick - double minor | 02/16/2015 | Boston Bruins | Home | Francis Charron, Ian Walsh
David Pastrnak | Boston Bruins | Hi-sticking | 02/16/2015 | Calgary Flames | Away | Francis Charron, Ian Walsh
Marco Scandella | Minnesota Wild | Delaying Game-Puck over glass | 02/16/2015 | Vancouver Canucks | Away | Dan O'Rourke, Rob Martell
Yannick Weber | Vancouver Canucks | Interference | 02/16/2015 | Minnesota Wild | Home | Dan O'Rourke, Rob Martell
Kyle Clifford | LA Kings | Hi-sticking | 02/16/2015 | Tampa Bay Lightning | Home | Brad Meier, Trevor Hanson
Nikita Nesterov | Tampa Bay Lightning | Tripping | 02/16/2015 | LA Kings | Away | Brad Meier, Trevor Hanson
Steven Stamkos | Tampa Bay Lightning | Interference | 02/16/2015 | LA Kings | Away | Brad Meier, Trevor Hanson
Marian Gaborik | LA Kings | Too many men/ice - bench | 02/16/2015 | Tampa Bay Lightning | Home | Brad Meier, Trevor Hanson
Nikita Nesterov | Tampa Bay Lightning | Roughing | 02/16/2015 | LA Kings | Away | Brad Meier, Trevor Hanson
Brayden Schenn | Philadelphia Flyers | Interference | 02/17/2015 | Columbus Blue Jackets | Home | Brian Pochmara, Greg Kimmerly
Fedor Tyutin | Columbus Blue Jackets | Boarding | 02/17/2015 | Philadelphia Flyers | Away | Brian Pochmara, Greg Kimmerly
Brandon Dubinsky | Columbus Blue Jackets | Hooking | 02/17/2015 | Philadelphia Flyers | Away | Brian Pochmara, Greg Kimmerly
Beau Bennett | Pittsburgh Penguins | Unsportsmanlike conduct | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Tom Wilson | Washington Capitals | Unsportsmanlike conduct | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
Blake Comeau | Pittsburgh Penguins | Tripping | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Matt Niskanen | Washington Capitals | Holding | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
Robert Bortuzzo | Pittsburgh Penguins | Fighting (maj) | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Michael Latta | Washington Capitals | Fighting (maj) | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
Troy Brouwer | Washington Capitals | Interference on goalkeeper | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
Steve Downie | Pittsburgh Penguins | Roughing | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Eric Fehr | Washington Capitals | Roughing | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
Maxim Lapierre | Pittsburgh Penguins | Cross checking | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Blake Comeau | Pittsburgh Penguins | Unsportsmanlike conduct | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Brooks Orpik | Washington Capitals | Unsportsmanlike conduct | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
Steve Downie | Pittsburgh Penguins | Misconduct (10 min) | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Steve Downie | Pittsburgh Penguins | Roughing | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Tom Wilson | Washington Capitals | Misconduct (10 min) | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
Craig Adams | Pittsburgh Penguins | Misconduct (10 min) | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Chris Kunitz | Pittsburgh Penguins | Boarding | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Kris Letang | Pittsburgh Penguins | Slashing | 02/17/2015 | Washington Capitals | Home | Justin St. Pierre, Kevin Pollock
Brooks Laich | Washington Capitals | Interference on goalkeeper | 02/17/2015 | Pittsburgh Penguins | Away | Justin St. Pierre, Kevin Pollock
John-Michael Liles | Carolina Hurricanes | Holding | 02/17/2015 | NY Islanders | Home | Francois St. Laurent, Garrett Rank
Travis Hamonic | NY Islanders | Delaying Game-Puck over glass | 02/17/2015 | Carolina Hurricanes | Away | Francois St. Laurent, Garrett Rank
Chris Terry | Carolina Hurricanes | Boarding | 02/17/2015 | NY Islanders | Home | Francois St. Laurent, Garrett Rank
Anders Lee | NY Islanders | Hooking | 02/17/2015 | Carolina Hurricanes | Away | Francois St. Laurent, Garrett Rank
Brian Gionta | Buffalo Sabres | Holding | 02/17/2015 | New Jersey Devils | Away | Dave Jackson, Mark Lemelin
Jordin Tootoo | New Jersey Devils | Delaying Game-Puck over glass | 02/17/2015 | Buffalo Sabres | Home | Dave Jackson, Mark Lemelin
Zach Bogosian | Buffalo Sabres | Hi-sticking | 02/17/2015 | New Jersey Devils | Away | Dave Jackson, Mark Lemelin
Mike Cammalleri | New Jersey Devils | Slashing | 02/17/2015 | Buffalo Sabres | Home | Dave Jackson, Mark Lemelin
Andre Benoit | Buffalo Sabres | Hi-sticking | 02/17/2015 | New Jersey Devils | Away | Dave Jackson, Mark Lemelin
Patrik Elias | New Jersey Devils | Hi-sticking | 02/17/2015 | Buffalo Sabres | Home | Dave Jackson, Mark Lemelin
Chris Stewart | Buffalo Sabres | Hooking | 02/17/2015 | New Jersey Devils | Away | Dave Jackson, Mark Lemelin
Nick Bjugstad | Florida Panthers | Tripping | 02/17/2015 | Toronto Maple Leafs | Away | Wes McCauley, Dan O'Halloran
Petter Granberg | Toronto Maple Leafs | Interference | 02/17/2015 | Florida Panthers | Home | Wes McCauley, Dan O'Halloran
Leo Komarov | Toronto Maple Leafs | Holding | 02/17/2015 | Florida Panthers | Home | Wes McCauley, Dan O'Halloran
Roman Polak | Toronto Maple Leafs | Tripping | 02/17/2015 | Florida Panthers | Home | Wes McCauley, Dan O'Halloran
David Booth | Toronto Maple Leafs | Interference | 02/17/2015 | Florida Panthers | Home | Wes McCauley, Dan O'Halloran
Leo Komarov | Toronto Maple Leafs | Hooking | 02/17/2015 | Florida Panthers | Home | Wes McCauley, Dan O'Halloran
David Clarkson | Toronto Maple Leafs | Fighting (maj) | 02/17/2015 | Florida Panthers | Home | Wes McCauley, Dan O'Halloran
Shane O'Brien | Florida Panthers | Fighting (maj) | 02/17/2015 | Toronto Maple Leafs | Away | Wes McCauley, Dan O'Halloran
Dave Bolland | Florida Panthers | Slashing | 02/17/2015 | Toronto Maple Leafs | Away | Wes McCauley, Dan O'Halloran
Vernon Fiddler | Dallas Stars | Delay Gm - Face-off Violation | 02/17/2015 | St Louis Blues | Away | Gord Dwyer, Eric Furlatt
Vladimir Tarasenko | St Louis Blues | Too many men/ice - bench | 02/17/2015 | Dallas Stars | Home | Gord Dwyer, Eric Furlatt
Steve Ott | St Louis Blues | Tripping | 02/17/2015 | Dallas Stars | Home | Gord Dwyer, Eric Furlatt
Brett Ritchie | Dallas Stars | Too many men/ice - bench | 02/17/2015 | St Louis Blues | Away | Gord Dwyer, Eric Furlatt
Jason Demers | Dallas Stars | Interference | 02/17/2015 | St Louis Blues | Away | Gord Dwyer, Eric Furlatt
Chris Butler | St Louis Blues | Interference | 02/17/2015 | Dallas Stars | Home | Gord Dwyer, Eric Furlatt
Alexander Steen | St Louis Blues | Hi-sticking | 02/17/2015 | Dallas Stars | Home | Gord Dwyer, Eric Furlatt
Barret Jackman | St Louis Blues | Fighting (maj) | 02/17/2015 | Dallas Stars | Home | Gord Dwyer, Eric Furlatt
Antoine Roussel | Dallas Stars | Fighting (maj) | 02/17/2015 | St Louis Blues | Away | Gord Dwyer, Eric Furlatt
Matt Cullen | Nashville Predators | Interference | 02/17/2015 | SJ Sharks | Home | Jean Hebert, Steve Kozari
Brenden Dillon | SJ Sharks | Interference | 02/17/2015 | Nashville Predators | Away | Jean Hebert, Steve Kozari
Mike Fisher | Nashville Predators | Holding | 02/17/2015 | SJ Sharks | Home | Jean Hebert, Steve Kozari
Craig Smith | Nashville Predators | Hooking | 02/17/2015 | SJ Sharks | Home | Jean Hebert, Steve Kozari
Justin Braun | SJ Sharks | Hooking | 02/17/2015 | Nashville Predators | Away | Jean Hebert, Steve Kozari
Mark Borowiecki | Ottawa Senators | Holding | 02/18/2015 | Montreal Canadiens | Home | Brian Pochmara, Rob Martell
P.K. Subban | Montreal Canadiens | Hooking | 02/18/2015 | Ottawa Senators | Away | Brian Pochmara, Rob Martell
Mark Borowiecki | Ottawa Senators | Fighting (maj) | 02/18/2015 | Montreal Canadiens | Home | Brian Pochmara, Rob Martell
Brandon Prust | Montreal Canadiens | Fighting (maj) | 02/18/2015 | Ottawa Senators | Away | Brian Pochmara, Rob Martell
Alex Galchenyuk | Montreal Canadiens | Tripping | 02/18/2015 | Ottawa Senators | Away | Brian Pochmara, Rob Martell
Erik Condra | Ottawa Senators | Tripping | 02/18/2015 | Montreal Canadiens | Home | Brian Pochmara, Rob Martell
Jacob De La Rose | Montreal Canadiens | Hi-sticking | 02/18/2015 | Ottawa Senators | Away | Brian Pochmara, Rob Martell
Bryan Bickell | Chicago Blackhawks | Slashing | 02/18/2015 | Detroit Red Wings | Home | Ghislain Hebert, Francois St. Laurent
Justin Abdelkader | Detroit Red Wings | Hooking | 02/18/2015 | Chicago Blackhawks | Away | Ghislain Hebert, Francois St. Laurent
Kyle Quincey | Detroit Red Wings | Hi-sticking | 02/18/2015 | Chicago Blackhawks | Away | Ghislain Hebert, Francois St. Laurent
Teemu Pulkkinen | Detroit Red Wings | Hooking | 02/18/2015 | Chicago Blackhawks | Away | Ghislain Hebert, Francois St. Laurent
Justin Abdelkader | Detroit Red Wings | Interference | 02/18/2015 | Chicago Blackhawks | Away | Ghislain Hebert, Francois St. Laurent
Joe Colborne | Calgary Flames | Hooking | 02/18/2015 | Minnesota Wild | Home | Francis Charron, Marc Joannette
Marco Scandella | Minnesota Wild | Tripping | 02/18/2015 | Calgary Flames | Away | Francis Charron, Marc Joannette
Jason Pominville | Minnesota Wild | Hi-sticking | 02/18/2015 | Calgary Flames | Away | Francis Charron, Marc Joannette
Zach Parise | Minnesota Wild | Slashing | 02/18/2015 | Calgary Flames | Away | Francis Charron, Marc Joannette
Justin Williams | LA Kings | Tripping | 02/18/2015 | Colorado Avalanche | Away | Frederick L'Ecuyer, Gord Dwyer
Jan Hejda | Colorado Avalanche | Tripping | 02/18/2015 | LA Kings | Home | Frederick L'Ecuyer, Gord Dwyer
Alex Tanguay | Colorado Avalanche | Tripping | 02/18/2015 | LA Kings | Home | Frederick L'Ecuyer, Gord Dwyer
Alex Tanguay | Colorado Avalanche | Delaying Game-Puck over glass | 02/18/2015 | LA Kings | Home | Frederick L'Ecuyer, Gord Dwyer
Nick Shore | LA Kings | Hooking | 02/18/2015 | Colorado Avalanche | Away | Frederick L'Ecuyer, Gord Dwyer
Robyn Regehr | LA Kings | Boarding | 02/18/2015 | Colorado Avalanche | Away | Frederick L'Ecuyer, Gord Dwyer
Alex Tanguay | Colorado Avalanche | Tripping | 02/18/2015 | LA Kings | Home | Frederick L'Ecuyer, Gord Dwyer
Matt Hendricks | Edmonton Oilers | Fighting (maj) | 02/18/2015 | Boston Bruins | Home | Dan O'Rourke, Ian Walsh
Gregory Campbell | Boston Bruins | Fighting (maj) | 02/18/2015 | Edmonton Oilers | Away | Dan O'Rourke, Ian Walsh
Daniel Paille | Boston Bruins | Tripping | 02/18/2015 | Edmonton Oilers | Away | Dan O'Rourke, Ian Walsh
Andrew Ference | Edmonton Oilers | Tripping | 02/18/2015 | Boston Bruins | Home | Dan O'Rourke, Ian Walsh
Brad Marchand | Boston Bruins | Slashing | 02/18/2015 | Edmonton Oilers | Away | Dan O'Rourke, Ian Walsh
Patrice Bergeron | Boston Bruins | Hi-sticking | 02/18/2015 | Edmonton Oilers | Away | Dan O'Rourke, Ian Walsh
Dennis Seidenberg | Boston Bruins | Holding | 02/18/2015 | Edmonton Oilers | Away | Dan O'Rourke, Ian Walsh
Rene Bourque | Anaheim Ducks | Roughing | 02/18/2015 | Tampa Bay Lightning | Home | Mike Leggo, Paul Devorski
Mark Barberio | Tampa Bay Lightning | Holding | 02/18/2015 | Anaheim Ducks | Away | Mike Leggo, Paul Devorski
Devante Smith-Pelly | Anaheim Ducks | Roughing | 02/18/2015 | Tampa Bay Lightning | Home | Mike Leggo, Paul Devorski
Patrick Maroon | Anaheim Ducks | Slashing | 02/18/2015 | Tampa Bay Lightning | Home | Mike Leggo, Paul Devorski
Tyler Johnson | Tampa Bay Lightning | Hooking | 02/18/2015 | Anaheim Ducks | Away | Mike Leggo, Paul Devorski
Victor Bartley | Nashville Predators | Hooking | 02/19/2015 | NY Islanders | Away | Chris Rooney, Graham Skilliter
Travis Hamonic | NY Islanders | Hooking | 02/19/2015 | Nashville Predators | Home | Chris Rooney, Graham Skilliter
Paul Gaustad | Nashville Predators | Roughing | 02/19/2015 | NY Islanders | Away | Chris Rooney, Graham Skilliter
Lubomir Visnovsky | NY Islanders | Hooking | 02/19/2015 | Nashville Predators | Home | Chris Rooney, Graham Skilliter
Mike Fisher | Nashville Predators | Holding | 02/19/2015 | NY Islanders | Away | Chris Rooney, Graham Skilliter
Filip Forsberg | Nashville Predators | Hooking | 02/19/2015 | NY Islanders | Away | Chris Rooney, Graham Skilliter
Mike Ribeiro | Nashville Predators | Game misconduct | 02/19/2015 | NY Islanders | Away | Chris Rooney, Graham Skilliter
James Neal | Nashville Predators | Boarding | 02/19/2015 | NY Islanders | Away | Chris Rooney, Graham Skilliter
Cal Clutterbuck | NY Islanders | Cross checking | 02/19/2015 | Nashville Predators | Home | Chris Rooney, Graham Skilliter
Mike Ribeiro | Nashville Predators | Misconduct (10 min) | 02/19/2015 | NY Islanders | Away | Chris Rooney, Graham Skilliter
Jannik Hansen | Vancouver Canucks | Tripping | 02/19/2015 | NY Rangers | Away | Dave Jackson, Ghislain Hebert
Alexandre Burrows | Vancouver Canucks | Hi-sticking | 02/19/2015 | NY Rangers | Away | Dave Jackson, Ghislain Hebert
Mats Zuccarello | NY Rangers | Slashing | 02/19/2015 | Vancouver Canucks | Home | Dave Jackson, Ghislain Hebert
Alexandre Burrows | Vancouver Canucks | Slashing | 02/19/2015 | NY Rangers | Away | Dave Jackson, Ghislain Hebert
Mats Zuccarello | NY Rangers | Hi-sticking | 02/19/2015 | Vancouver Canucks | Home | Dave Jackson, Ghislain Hebert
Ronalds Kenins | Vancouver Canucks | Tripping | 02/19/2015 | NY Rangers | Away | Dave Jackson, Ghislain Hebert
Alexandre Burrows | Vancouver Canucks | Fighting (maj) | 02/19/2015 | NY Rangers | Away | Dave Jackson, Ghislain Hebert
Chris Kreider | NY Rangers | Fighting (maj) | 02/19/2015 | Vancouver Canucks | Home | Dave Jackson, Ghislain Hebert
Alexandre Burrows | Vancouver Canucks | Cross checking | 02/19/2015 | NY Rangers | Away | Dave Jackson, Ghislain Hebert
Kevin Hayes | NY Rangers | Hooking | 02/19/2015 | Vancouver Canucks | Home | Dave Jackson, Ghislain Hebert
Jakub Voracek | Philadelphia Flyers | Hi-sticking | 02/19/2015 | Buffalo Sabres | Home | Kelly Sutherland, Kyle Rehman
Zemgus Girgensons | Buffalo Sabres | Interference | 02/19/2015 | Philadelphia Flyers | Away | Kelly Sutherland, Kyle Rehman
Tyler Ennis | Buffalo Sabres | Interference on goalkeeper | 02/19/2015 | Philadelphia Flyers | Away | Kelly Sutherland, Kyle Rehman
Chris Stewart | Buffalo Sabres | Roughing | 02/19/2015 | Philadelphia Flyers | Away | Kelly Sutherland, Kyle Rehman
Brayden Schenn | Philadelphia Flyers | Tripping | 02/19/2015 | Buffalo Sabres | Home | Kelly Sutherland, Kyle Rehman
Torrey Mitchell | Buffalo Sabres | Roughing | 02/19/2015 | Philadelphia Flyers | Away | Kelly Sutherland, Kyle Rehman
Claude Giroux | Philadelphia Flyers | Roughing | 02/19/2015 | Buffalo Sabres | Home | Kelly Sutherland, Kyle Rehman
Chris Stewart | Buffalo Sabres | Hooking | 02/19/2015 | Philadelphia Flyers | Away | Kelly Sutherland, Kyle Rehman
Nick Schultz | Philadelphia Flyers | Tripping | 02/19/2015 | Buffalo Sabres | Home | Kelly Sutherland, Kyle Rehman
David Perron | Pittsburgh Penguins | Hi-sticking | 02/19/2015 | Columbus Blue Jackets | Home | Steve Kozari, Dave Lewis
Craig Adams | Pittsburgh Penguins | Interference | 02/19/2015 | Columbus Blue Jackets | Home | Steve Kozari, Dave Lewis
Jared Boll | Columbus Blue Jackets | Roughing | 02/19/2015 | Pittsburgh Penguins | Away | Steve Kozari, Dave Lewis
Steve Downie | Pittsburgh Penguins | Roughing | 02/19/2015 | Columbus Blue Jackets | Home | Steve Kozari, Dave Lewis
Brandon Dubinsky | Columbus Blue Jackets | Fighting (maj) | 02/19/2015 | Pittsburgh Penguins | Away | Steve Kozari, Dave Lewis
Sidney Crosby | Pittsburgh Penguins | Fighting (maj) | 02/19/2015 | Columbus Blue Jackets | Home | Steve Kozari, Dave Lewis
Nick Foligno | Columbus Blue Jackets | Roughing | 02/19/2015 | Pittsburgh Penguins | Away | Steve Kozari, Dave Lewis
Beau Bennett | Pittsburgh Penguins | Slashing | 02/19/2015 | Columbus Blue Jackets | Home | Steve Kozari, Dave Lewis
Maxim Lapierre | Pittsburgh Penguins | Hi-sticking | 02/19/2015 | Columbus Blue Jackets | Home | Steve Kozari, Dave Lewis
