Chris Neil | Ottawa Senators | Roughing | 11/08/2014 | Winnipeg Jets | Home | Chris Lee, Brad Meier
Erik Karlsson | Ottawa Senators | Cross checking | 11/08/2014 | Winnipeg Jets | Home | Chris Lee, Brad Meier
Bobby Ryan | Ottawa Senators | Interference | 11/09/2014 | Toronto Maple Leafs | Home | Jean Hebert, Francois St. Laurent
Mike Hoffman | Ottawa Senators | Too many men/ice - bench | 11/09/2014 | Toronto Maple Leafs | Home | Jean Hebert, Francois St. Laurent
Mark Borowiecki | Ottawa Senators | Hi-sticking | 11/09/2014 | Toronto Maple Leafs | Home | Jean Hebert, Francois St. Laurent
Chris Neil | Ottawa Senators | Hooking | 11/11/2014 | Vancouver Canucks | Away | Wes McCauley, Dean Morton
Jared Cowen | Ottawa Senators | Boarding | 11/11/2014 | Vancouver Canucks | Away | Wes McCauley, Dean Morton
Chris Neil | Ottawa Senators | Fighting (maj) | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Eric Gryba | Ottawa Senators | Instigator | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Eric Gryba | Ottawa Senators | Misconduct (10 min) | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Eric Gryba | Ottawa Senators | Fighting (maj) | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Mark Borowiecki | Ottawa Senators | Hi-sticking | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Chris Neil | Ottawa Senators | Roughing | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Zack Smith | Ottawa Senators | Interference | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Mark Borowiecki | Ottawa Senators | Holding | 11/13/2014 | Edmonton Oilers | Away | Marc Joannette, Mark Lemelin
Mark Borowiecki | Ottawa Senators | Fighting (maj) | 11/15/2014 | Calgary Flames | Away | Marc Joannette, Dean Morton
Alex Chiasson | Ottawa Senators | Hooking | 11/15/2014 | Calgary Flames | Away | Marc Joannette, Dean Morton
Clarke MacArthur | Ottawa Senators | Illegal Check To Head | 11/15/2014 | Calgary Flames | Away | Marc Joannette, Dean Morton
Colin Greening | Ottawa Senators | Cross checking | 11/20/2014 | Nashville Predators | Home | Mike Leggo, Tim Peel
Kyle Turris | Ottawa Senators | Hooking | 11/20/2014 | Nashville Predators | Home | Mike Leggo, Tim Peel
Clarke MacArthur | Ottawa Senators | Embellishment | 11/20/2014 | Nashville Predators | Home | Mike Leggo, Tim Peel
Mark Borowiecki | Ottawa Senators | Interference | 11/22/2014 | St Louis Blues | Home | Paul Devorski, Greg Kimmerly
Patrick Wiercioch | Ottawa Senators | Roughing | 11/22/2014 | St Louis Blues | Home | Paul Devorski, Greg Kimmerly
Mark Stone | Ottawa Senators | Hi-sticking | 11/22/2014 | St Louis Blues | Home | Paul Devorski, Greg Kimmerly
Mark Stone | Ottawa Senators | Slashing | 11/22/2014 | St Louis Blues | Home | Paul Devorski, Greg Kimmerly
Eric Gryba | Ottawa Senators | Tripping | 11/22/2014 | St Louis Blues | Home | Paul Devorski, Greg Kimmerly
Chris Neil | Ottawa Senators | Hooking | 11/24/2014 | Detroit Red Wings | Away | Kevin Pollock, Francois St. Laurent
Alex Chiasson | Ottawa Senators | Holding | 11/24/2014 | Detroit Red Wings | Away | Kevin Pollock, Francois St. Laurent
Mark Borowiecki | Ottawa Senators | Tripping | 11/24/2014 | Detroit Red Wings | Away | Kevin Pollock, Francois St. Laurent
Craig Anderson | Ottawa Senators | Tripping | 11/24/2014 | Detroit Red Wings | Away | Kevin Pollock, Francois St. Laurent
Kyle Turris | Ottawa Senators | Embellishment | 11/24/2014 | Detroit Red Wings | Away | Kevin Pollock, Francois St. Laurent
Clarke MacArthur | Ottawa Senators | Hooking | 11/24/2014 | Detroit Red Wings | Away | Kevin Pollock, Francois St. Laurent
Patrick Wiercioch | Ottawa Senators | Interference | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Zack Smith | Ottawa Senators | Roughing | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
David Legwand | Ottawa Senators | Holding | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Kyle Turris | Ottawa Senators | Roughing | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Curtis Lazar | Ottawa Senators | Tripping | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Erik Condra | Ottawa Senators | Fighting (maj) | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Eric Gryba | Ottawa Senators | Fighting (maj) | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Colin Greening | Ottawa Senators | Roughing | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Kyle Turris | Ottawa Senators | Holding | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Mike Hoffman | Ottawa Senators | Cross checking | 11/25/2014 | St Louis Blues | Away | Dan O'Rourke, Frederick L'Ecuyer
Chris Phillips | Ottawa Senators | Delay of game | 11/28/2014 | Florida Panthers | Away | Jean Hebert, Rob Martell
Chris Neil | Ottawa Senators | Fighting (maj) | 11/28/2014 | Florida Panthers | Away | Jean Hebert, Rob Martell
Zack Smith | Ottawa Senators | Roughing | 11/28/2014 | Florida Panthers | Away | Jean Hebert, Rob Martell
Patrick Wiercioch | Ottawa Senators | Hooking | 11/28/2014 | Florida Panthers | Away | Jean Hebert, Rob Martell
Milan Michalek | Ottawa Senators | Hooking | 11/29/2014 | Tampa Bay Lightning | Away | Rob Martell, Eric Furlatt
Clarke MacArthur | Ottawa Senators | Hooking | 11/29/2014 | Tampa Bay Lightning | Away | Rob Martell, Eric Furlatt
Clarke MacArthur | Ottawa Senators | Hi stick - double minor | 11/29/2014 | Tampa Bay Lightning | Away | Rob Martell, Eric Furlatt
Kyle Turris | Ottawa Senators | Slashing | 12/02/2014 | NY Islanders | Away | Tim Peel, Darcy Burchell
Alex Chiasson | Ottawa Senators | Interference | 12/02/2014 | NY Islanders | Away | Tim Peel, Darcy Burchell
Curtis Lazar | Ottawa Senators | Boarding | 12/04/2014 | NY Islanders | Home | Ghislain Hebert, Brad Watson
Kyle Turris | Ottawa Senators | Hooking | 12/04/2014 | NY Islanders | Home | Ghislain Hebert, Brad Watson
Alex Chiasson | Ottawa Senators | Hooking | 12/04/2014 | NY Islanders | Home | Ghislain Hebert, Brad Watson
Alex Chiasson | Ottawa Senators | Instigator | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Alex Chiasson | Ottawa Senators | Misconduct (10 min) | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Alex Chiasson | Ottawa Senators | Fighting (maj) | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Curtis Lazar | Ottawa Senators | Too many men/ice - bench | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Mark Borowiecki | Ottawa Senators | Roughing | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Clarke MacArthur | Ottawa Senators | Cross checking | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Milan Michalek | Ottawa Senators | Holding | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Marc Methot | Ottawa Senators | Holding | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Erik Condra | Ottawa Senators | Hooking | 12/06/2014 | Pittsburgh Penguins | Away | Wes McCauley, Francis Charron
Alex Chiasson | Ottawa Senators | Tripping | 12/07/2014 | Vancouver Canucks | Home | Frederick L'Ecuyer, Ian Walsh
Chris Neil | Ottawa Senators | Misconduct (10 min) | 12/07/2014 | Vancouver Canucks | Home | Frederick L'Ecuyer, Ian Walsh
Chris Neil | Ottawa Senators | Fighting (maj) | 12/07/2014 | Vancouver Canucks | Home | Frederick L'Ecuyer, Ian Walsh
Mark Borowiecki | Ottawa Senators | Interference | 12/07/2014 | Vancouver Canucks | Home | Frederick L'Ecuyer, Ian Walsh
Jared Cowen | Ottawa Senators | Interference | 12/07/2014 | Vancouver Canucks | Home | Frederick L'Ecuyer, Ian Walsh
Erik Karlsson | Ottawa Senators | Slashing | 12/11/2014 | LA Kings | Home | Kevin Pollock, Steve Kozari
Jared Cowen | Ottawa Senators | Fighting (maj) | 12/11/2014 | LA Kings | Home | Kevin Pollock, Steve Kozari
Jared Cowen | Ottawa Senators | Illegal Check To Head | 12/11/2014 | LA Kings | Home | Kevin Pollock, Steve Kozari
Erik Condra | Ottawa Senators | Tripping | 12/11/2014 | LA Kings | Home | Kevin Pollock, Steve Kozari
Jared Cowen | Ottawa Senators | Slashing | 12/11/2014 | LA Kings | Home | Kevin Pollock, Steve Kozari
Mark Borowiecki | Ottawa Senators | Fighting (maj) | 12/13/2014 | Boston Bruins | Away | Rob Martell, Tom Kowal
David Legwand | Ottawa Senators | Interference | 12/13/2014 | Boston Bruins | Away | Rob Martell, Tom Kowal
Mark Borowiecki | Ottawa Senators | Fighting (maj) | 12/15/2014 | Buffalo Sabres | Away | Wes McCauley, Dean Morton
Kyle Turris | Ottawa Senators | Hooking | 12/15/2014 | Buffalo Sabres | Away | Wes McCauley, Dean Morton
